Anesthesia,Antibiotics_for_Mother,Induction_of_Labor,Steroids,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
Yes,No,Yes,No,1,28.51,3362.94,12.01,39.08,27.26,1535721
Yes,No,Yes,No,1,27.74,3377.24,12.06,39.11,27.29,35263
Yes,No,No,Yes,0,29.35,1563.44,8.96,29.27,30.14,75
Yes,No,No,Yes,0,28.83,1220.88,7.49,27.97,28.62,603
Yes,No,No,Yes,0,29.75,1390.79,8.7,28.78,28.75,478
Yes,No,No,Yes,0,28.83,1421.2,8.16,29.13,28.61,579
Yes,No,No,Yes,0,29.16,1533.79,8.45,29.89,29.16,856
Yes,No,No,Yes,1,29.5,1578.03,8.81,30.24,29.17,1467
Yes,No,No,Yes,1,29.45,1612.95,8.62,30.58,28.95,2958
Yes,No,No,Yes,1,29.81,1744.16,9.28,31.34,28.94,6285
Yes,No,No,Yes,1,29.81,2055.73,9.98,32.95,28.28,18030
Yes,No,No,Yes,1,29.46,2528.35,10.96,35.27,27.25,55174
Yes,No,No,Yes,1,28.85,2743.48,11.66,36.21,26.67,689
Yes,No,No,No,0,28.92,2230.83,8.59,32.16,28.25,1038
Yes,No,No,No,0,28.38,1729.44,7.8,29.51,28.39,6137
Yes,No,No,No,0,28.36,2430.76,9.52,33.82,28.0,5271
Yes,No,No,No,0,28.37,2652.14,9.96,35.3,28.27,5678
Yes,No,No,No,0,28.4,2756.28,10.2,35.95,28.05,8157
Yes,No,No,No,1,28.56,2827.4,10.48,36.29,28.0,14181
Yes,No,No,No,1,28.61,2893.44,10.65,36.61,27.91,27373
Yes,No,No,No,1,28.67,3005.04,10.88,37.11,27.74,70868
Yes,No,No,No,1,28.62,3208.04,11.12,38.08,27.3,413390
Yes,No,No,No,1,28.86,3311.49,11.34,38.67,26.51,3610615
Yes,No,No,No,1,28.27,3334.53,11.37,38.72,26.5,72131
No,Yes,Yes,Yes,0,30.0,2206.67,8.33,30.33,25.1,3
No,Yes,Yes,Yes,0,30.89,1064.0,6.06,26.24,29.93,37
No,Yes,Yes,Yes,0,28.21,1328.67,7.26,29.33,28.89,33
No,Yes,Yes,Yes,0,28.11,1715.07,8.77,31.89,29.71,27
No,Yes,Yes,Yes,0,28.21,1569.45,9.15,30.68,28.79,47
No,Yes,Yes,Yes,1,28.32,1888.6,7.94,31.89,30.37,84
No,Yes,Yes,Yes,1,29.75,1811.16,8.85,31.97,29.47,154
No,Yes,Yes,Yes,1,28.61,2018.79,8.49,32.99,29.29,308
No,Yes,Yes,Yes,1,28.84,2219.04,9.25,34.02,28.87,1024
No,Yes,Yes,Yes,1,28.95,2457.24,9.98,35.28,27.86,3788
No,Yes,Yes,Yes,1,27.98,2644.51,11.15,36.05,30.1,43
No,Yes,Yes,No,0,28.36,2135.59,8.26,30.08,28.51,44
No,Yes,Yes,No,0,28.72,1206.28,6.04,25.26,29.03,271
No,Yes,Yes,No,0,27.85,2196.18,8.28,31.76,29.34,144
No,Yes,Yes,No,0,28.78,2916.07,11.56,36.22,30.74,164
No,Yes,Yes,No,0,28.61,3029.43,11.86,37.33,29.45,186
