Mother_Education,Mother_Weight_Gain,Pre-pregnancy_Diabetes,Pre-pregnancy_Hypertension,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI
High school graduate or GED completed,20 lbs,Yes,No,0,25.4,3186.2,13.8,34.6,33.38
High school graduate or GED completed,20 lbs,Yes,No,0,30,2245.71,12.29,32.71,28.84
High school graduate or GED completed,20 lbs,Yes,No,1,29.3,2661.6,11.11,34.2,31.45
High school graduate or GED completed,20 lbs,Yes,No,1,27.74,2991.89,9.79,34.53,33.53
High school graduate or GED completed,20 lbs,Yes,No,1,29.47,2992.86,13.06,34.31,36.31
High school graduate or GED completed,20 lbs,Yes,No,1,29.61,3246.4,11.96,36.42,33.24
High school graduate or GED completed,20 lbs,Yes,No,1,29.5,3344.83,12.67,37.54,31.92
High school graduate or GED completed,20 lbs,Yes,No,1,31.27,3546.64,11.55,38.09,33.67
"Some college credit, but not a degree",20 lbs,Yes,No,0,36,652,6,24,29.4
"Some college credit, but not a degree",20 lbs,Yes,No,0,23.5,425,7,19.5,26
"Some college credit, but not a degree",20 lbs,Yes,No,0,28.67,1813.67,7,30.67,32
"Some college credit, but not a degree",20 lbs,Yes,No,0,25,1490,12,29,24.9
"Some college credit, but not a degree",20 lbs,Yes,No,0,35,995,4,26,24
"Some college credit, but not a degree",20 lbs,Yes,No,1,31.33,3030.8,17.67,34.17,35.33
"Some college credit, but not a degree",20 lbs,Yes,No,1,27.82,2828.45,10.5,35.09,28.63
"Some college credit, but not a degree",20 lbs,Yes,No,1,30.33,3132.33,12.4,35.19,38.13
"Some college credit, but not a degree",20 lbs,Yes,No,1,30.54,3195.67,11.6,36.45,34.1
"Some college credit, but not a degree",20 lbs,Yes,No,1,30.68,3298.76,13.23,37.4,33.27
"Some college credit, but not a degree",20 lbs,Yes,No,1,32.5,3591.17,11.5,37.17,30.27
"Associate degree (AA, AS)",20 lbs,Yes,No,0,31,2820,12,38,34
"Associate degree (AA, AS)",20 lbs,Yes,No,0,29,3629,19,39,29
"Associate degree (AA, AS)",20 lbs,Yes,No,0,35,3200,11,32,39.5
"Associate degree (AA, AS)",20 lbs,Yes,No,0,30,3000,8,38,26.2
"Associate degree (AA, AS)",20 lbs,Yes,No,1,39.25,2898.25,11.75,36.5,32.27
"Associate degree (AA, AS)",20 lbs,Yes,No,1,30.18,3324.09,11.45,35.91,31.14
"Associate degree (AA, AS)",20 lbs,Yes,No,1,31.22,3079.83,13.26,36.08,31.18
"Associate degree (AA, AS)",20 lbs,Yes,No,1,32.11,3254.24,13.39,37.61,32.08
"Associate degree (AA, AS)",20 lbs,Yes,No,1,26.5,3754.5,19.5,37.5,42.1
"Bachelor's degree (BA, AB, BS)",20 lbs,Yes,No,0,30.33,439.5,7.67,20.33,30.3
"Bachelor's degree (BA, AB, BS)",20 lbs,Yes,No,0,33,2926.5,12,35.5,30.3
"Bachelor's degree (BA, AB, BS)",20 lbs,Yes,No,0,29,4035,12,38,29.05
"Bachelor's degree (BA, AB, BS)",20 lbs,Yes,No,1,33.86,2753.29,12.43,35.57,24.29
"Bachelor's degree (BA, AB, BS)",20 lbs,Yes,No,1,30.85,3256,10.08,35.92,29.99
"Bachelor's degree (BA, AB, BS)",20 lbs,Yes,No,1,31.97,3117.29,12.88,36.36,30.79
"Bachelor's degree (BA, AB, BS)",20 lbs,Yes,No,1,33.16,3353.73,12.93,37.8,30.18
"Bachelor's degree (BA, AB, BS)",20 lbs,Yes,No,1,31.25,3676,12.75,38.5,27.95
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",20 lbs,Yes,No,0,32,1538,15,27.5,25.9
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",20 lbs,Yes,No,0,30.5,3545,16,37.5,32.85
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",20 lbs,Yes,No,0,30,3005,12,36,21.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",20 lbs,Yes,No,1,40,3110,23.5,35.5,31.85
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",20 lbs,Yes,No,1,33.56,2294.78,15.78,34.56,35.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",20 lbs,Yes,No,1,32.24,3135.9,12.21,36.72,29.86
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",20 lbs,Yes,No,1,33.49,3279.09,13.71,37.88,28.87
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",20 lbs,Yes,No,1,33.4,3416.4,12.2,38.6,29.26
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",20 lbs,Yes,No,1,39,2440,18,29,31.5
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",20 lbs,Yes,No,1,35,3600,11,35,26.6
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",20 lbs,Yes,No,1,28,3328,9.5,35.5,30
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",20 lbs,Yes,No,1,34.91,3127.09,13.66,38.14,26.68
8th grade or less,21 lbs,Yes,No,0,31.5,3296.5,14.5,36,32.8
8th grade or less,21 lbs,Yes,No,0,38.5,4442,17,35.5,30.05
8th grade or less,21 lbs,Yes,No,1,33.33,2468.33,6.33,35.33,24.07
8th grade or less,21 lbs,Yes,No,1,33.62,3536.85,11.77,36.77,29.98
8th grade or less,21 lbs,Yes,No,1,33.11,3335.66,13.1,37.68,29.99
9th through 12th grade with no diploma,21 lbs,Yes,No,0,28,2650,13,37,22.3
9th through 12th grade with no diploma,21 lbs,Yes,No,0,30,3850,15,35,40.3
9th through 12th grade with no diploma,21 lbs,Yes,No,0,33,3570.5,12,38,33.05
9th through 12th grade with no diploma,21 lbs,Yes,No,1,35,3047.5,25,37,27.3
9th through 12th grade with no diploma,21 lbs,Yes,No,1,26.2,3212.7,18,35.7,32.64
9th through 12th grade with no diploma,21 lbs,Yes,No,1,29.42,3191.53,12.12,36.81,32.78
9th through 12th grade with no diploma,21 lbs,Yes,No,1,30.29,3354.92,12.68,37.51,31.46
9th through 12th grade with no diploma,21 lbs,Yes,No,1,25,3142.33,13,38,28.47
High school graduate or GED completed,21 lbs,Yes,No,0,35,3140,13,34,35.8
High school graduate or GED completed,21 lbs,Yes,No,0,34.5,1578.5,6.5,26,48.35
High school graduate or GED completed,21 lbs,Yes,No,0,27,2735.5,12.5,33,29.85
High school graduate or GED completed,21 lbs,Yes,No,0,34.5,1249.5,8.5,29,30.5
High school graduate or GED completed,21 lbs,Yes,No,0,32.25,3031,8.33,36.25,34.7
High school graduate or GED completed,21 lbs,Yes,No,1,25,2533.67,16.33,33,31.1
High school graduate or GED completed,21 lbs,Yes,No,1,30.27,2891.82,11.18,34.82,32.27
High school graduate or GED completed,21 lbs,Yes,No,1,28.59,2846.52,13.64,34.9,33.06
High school graduate or GED completed,21 lbs,Yes,No,1,29.53,3109.18,13.18,35.82,33.64
High school graduate or GED completed,21 lbs,Yes,No,1,29.63,3293.07,13.19,37.52,31.4
High school graduate or GED completed,21 lbs,Yes,No,1,30.5,2997,12.5,37.83,28.95
"Some college credit, but not a degree",21 lbs,Yes,No,0,37,3150,9,35,27.1
"Some college credit, but not a degree",21 lbs,Yes,No,0,25,1120,19.67,27.67,25.4
"Some college credit, but not a degree",21 lbs,Yes,No,0,20,450,5,24,43.1
"Some college credit, but not a degree",21 lbs,Yes,No,0,29,2452,9,31.5,37.55
"Some college credit, but not a degree",21 lbs,Yes,No,0,41,2313.5,13,31.5,37.5
"Some college credit, but not a degree",21 lbs,Yes,No,1,27.25,3095.75,9.5,34.75,26.9
"Some college credit, but not a degree",21 lbs,Yes,No,1,40,2188.33,10.33,33.67,28.33
"Some college credit, but not a degree",21 lbs,Yes,No,1,27.12,3052.88,13.94,35.53,32.59
"Some college credit, but not a degree",21 lbs,Yes,No,1,30.5,3109.85,12.55,36.2,32.53
"Some college credit, but not a degree",21 lbs,Yes,No,1,30.65,3326.73,13.48,37.52,32.87
"Some college credit, but not a degree",21 lbs,Yes,No,1,27.75,3069.5,15.75,37.75,25.88
"Associate degree (AA, AS)",21 lbs,Yes,No,0,28,1970,11,34,41.8
"Associate degree (AA, AS)",21 lbs,Yes,No,1,25,1130,9,30,19.8
"Associate degree (AA, AS)",21 lbs,Yes,No,1,26,3391.5,13,35.5,25.7
"Associate degree (AA, AS)",21 lbs,Yes,No,1,31.83,2775.67,13.17,34.25,33.55
"Associate degree (AA, AS)",21 lbs,Yes,No,1,31.27,3321.5,14.57,36.37,33.85
"Associate degree (AA, AS)",21 lbs,Yes,No,1,31.74,3366.86,13.87,37.64,32.74
"Associate degree (AA, AS)",21 lbs,Yes,No,1,35,3718,14,39,31.9
"Bachelor's degree (BA, AB, BS)",21 lbs,Yes,No,0,34,3600,15,40,41.1
"Bachelor's degree (BA, AB, BS)",21 lbs,Yes,No,0,37,1590,13,33,28.3
"Bachelor's degree (BA, AB, BS)",21 lbs,Yes,No,0,22,1275,9,36,21
"Bachelor's degree (BA, AB, BS)",21 lbs,Yes,No,1,32,3550,8,36,26.6
"Bachelor's degree (BA, AB, BS)",21 lbs,Yes,No,1,33.47,2914.67,14.27,35.6,34.15
"Bachelor's degree (BA, AB, BS)",21 lbs,Yes,No,1,31.24,3245.62,13.19,37.03,30.46
"Bachelor's degree (BA, AB, BS)",21 lbs,Yes,No,1,32.76,3423.28,13.04,38.05,29.41
"Bachelor's degree (BA, AB, BS)",21 lbs,Yes,No,1,30.67,3968.33,12.67,39.67,33.47
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",21 lbs,Yes,No,0,38,3640,20,38,28.2
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",21 lbs,Yes,No,1,48,2551,19,36,35
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",21 lbs,Yes,No,1,35.8,3625.6,11.8,38.6,34.08
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",21 lbs,Yes,No,1,36.54,3092.54,12.62,35.31,30.78
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",21 lbs,Yes,No,1,34.07,3353.39,13.28,37.97,28.89
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",21 lbs,Yes,No,1,32.75,2780.75,13,37,32.35
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",21 lbs,Yes,No,1,35.07,3185.5,14.27,37.89,26.32
8th grade or less,22 lbs,Yes,No,0,31,5360,13,38,34.9
8th grade or less,22 lbs,Yes,No,1,35.33,2277,8.67,31.33,27.7
8th grade or less,22 lbs,Yes,No,1,31.54,3524.15,11.25,37.38,28.25
8th grade or less,22 lbs,Yes,No,1,34.38,3350.37,13.56,37.9,29.55
8th grade or less,22 lbs,Yes,No,1,28,3674,15,39,23.8
9th through 12th grade with no diploma,22 lbs,Yes,No,0,25,3523,4,37,23.3
9th through 12th grade with no diploma,22 lbs,Yes,No,0,25.67,3360.67,12,35.67,37.87
9th through 12th grade with no diploma,22 lbs,Yes,No,1,25.67,3142,11.67,36,29.07
9th through 12th grade with no diploma,22 lbs,Yes,No,1,19,3751,3,39,27.3
9th through 12th grade with no diploma,22 lbs,Yes,No,1,30,2973.25,13.25,36.75,24.68
9th through 12th grade with no diploma,22 lbs,Yes,No,1,30.23,3241.45,11.96,36.94,32.04
9th through 12th grade with no diploma,22 lbs,Yes,No,1,30.27,3340.73,12.73,37.67,31.73
9th through 12th grade with no diploma,22 lbs,Yes,No,1,33.5,4529.5,11,38.5,33.45
High school graduate or GED completed,22 lbs,Yes,No,0,29.33,2532.67,8,31.33,35.6
High school graduate or GED completed,22 lbs,Yes,No,0,37,3720,8.67,35.67,33.33
High school graduate or GED completed,22 lbs,Yes,No,0,37,1312,4,27,23.9
High school graduate or GED completed,22 lbs,Yes,No,0,30.5,2955.75,6.5,33.25,28.88
High school graduate or GED completed,22 lbs,Yes,No,1,27.8,2655,10.8,35,25.66
High school graduate or GED completed,22 lbs,Yes,No,1,27.31,2795.38,10.08,34.69,28.78
High school graduate or GED completed,22 lbs,Yes,No,1,28.69,2920.88,10.88,35.08,32.77
High school graduate or GED completed,22 lbs,Yes,No,1,29.51,3303.45,12.13,36.64,31.5
High school graduate or GED completed,22 lbs,Yes,No,1,29.27,3318.38,13.03,37.48,31.15
High school graduate or GED completed,22 lbs,Yes,No,1,28,3540.71,13.86,38.43,31.34
"Some college credit, but not a degree",22 lbs,Yes,No,0,31,1580,11.67,29,38.63
"Some college credit, but not a degree",22 lbs,Yes,No,0,27,3600,21,34,21.6
"Some college credit, but not a degree",22 lbs,Yes,No,0,25,1410,12,31,21
"Some college credit, but not a degree",22 lbs,Yes,No,0,28.2,2663.6,9.8,32.8,29.96
"Some college credit, but not a degree",22 lbs,Yes,No,1,29,3430.33,8,37,25.23
"Some college credit, but not a degree",22 lbs,Yes,No,1,30,3744.83,12.33,36.67,37.57
"Some college credit, but not a degree",22 lbs,Yes,No,1,30.64,2877.93,12.32,35.39,32.75
"Some college credit, but not a degree",22 lbs,Yes,No,1,30.59,3152.81,11.79,35.97,31.36
"Some college credit, but not a degree",22 lbs,Yes,No,1,30.42,3365.27,13.44,37.41,32.55
"Some college credit, but not a degree",22 lbs,Yes,No,1,25.88,3609,17,38.75,31.8
"Associate degree (AA, AS)",22 lbs,Yes,No,0,37,3317,10,37,34
"Associate degree (AA, AS)",22 lbs,Yes,No,0,33.5,1016.5,4,29,29.3
"Associate degree (AA, AS)",22 lbs,Yes,No,0,31,2948,6,34,26.4
"Associate degree (AA, AS)",22 lbs,Yes,No,1,35,3099.67,13.67,37.67,34.5
"Associate degree (AA, AS)",22 lbs,Yes,No,1,32,2947.86,10.14,34.71,31.11
"Associate degree (AA, AS)",22 lbs,Yes,No,1,32.43,3095.43,10.71,36.29,29.96
"Associate degree (AA, AS)",22 lbs,Yes,No,1,31.48,3454.9,13.14,36.86,35.02
"Associate degree (AA, AS)",22 lbs,Yes,No,1,32.01,3259.24,13.63,37.35,31.66
"Associate degree (AA, AS)",22 lbs,Yes,No,1,28.5,3666,15,37.67,36.05
"Bachelor's degree (BA, AB, BS)",22 lbs,Yes,No,0,32,3325,14,38.5,34.2
"Bachelor's degree (BA, AB, BS)",22 lbs,Yes,No,0,37,2685,13,39,21.9
"Bachelor's degree (BA, AB, BS)",22 lbs,Yes,No,1,33.6,2778.2,15.75,35,28.98
"Bachelor's degree (BA, AB, BS)",22 lbs,Yes,No,1,32.75,2426.75,5.67,32.5,28.33
"Bachelor's degree (BA, AB, BS)",22 lbs,Yes,No,1,32.33,3211.17,11.4,35.67,30.88
"Bachelor's degree (BA, AB, BS)",22 lbs,Yes,No,1,31.66,3253.68,12.87,37.02,28.66
"Bachelor's degree (BA, AB, BS)",22 lbs,Yes,No,1,32.34,3342.76,13.49,37.76,30.21
"Bachelor's degree (BA, AB, BS)",22 lbs,Yes,No,1,31,3619.5,11.5,38.5,24.4
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",22 lbs,Yes,No,0,34.5,3000,12,34.5,33.85
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",22 lbs,Yes,No,1,34.86,3235.86,12.29,34.71,28.19
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",22 lbs,Yes,No,1,33.44,3223.72,15.5,37.56,29.56
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",22 lbs,Yes,No,1,34.03,3302.92,14.6,38.25,28.2
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",22 lbs,Yes,No,1,32,2647,9,35.5,29.1
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",22 lbs,Yes,No,1,35.4,3600,18,37.4,25.84
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",22 lbs,Yes,No,1,34.97,3305.42,15.24,37.91,26.3
8th grade or less,23 lbs,Yes,No,0,32,3345,10,37,34.2
8th grade or less,23 lbs,Yes,No,1,30.5,3691,13,38.5,23.6
8th grade or less,23 lbs,Yes,No,1,37.4,2433,9.2,33.4,34.42
8th grade or less,23 lbs,Yes,No,1,32.25,2989.58,13.67,36,31.41
8th grade or less,23 lbs,Yes,No,1,33.82,3439.68,12.67,37.73,29.9
8th grade or less,23 lbs,Yes,No,1,35,4026,11,37,34.9
9th through 12th grade with no diploma,23 lbs,Yes,No,0,37,1710,17,29,31
9th through 12th grade with no diploma,23 lbs,Yes,No,0,30,2736,8,32,27.5
9th through 12th grade with no diploma,23 lbs,Yes,No,1,30.33,2893.67,13,35.33,33.87
9th through 12th grade with no diploma,23 lbs,Yes,No,1,26.43,3810,12.43,36.14,31.03
9th through 12th grade with no diploma,23 lbs,Yes,No,1,28,2946,8,34,35.7
9th through 12th grade with no diploma,23 lbs,Yes,No,1,31.66,3201.81,12.19,36.06,32.65
9th through 12th grade with no diploma,23 lbs,Yes,No,1,30.29,3290.01,12.18,37.55,32.08
High school graduate or GED completed,23 lbs,Yes,No,0,39,990,4,27,31.5
High school graduate or GED completed,23 lbs,Yes,No,0,38.5,2772.5,11.5,35,40.1
High school graduate or GED completed,23 lbs,Yes,No,0,28,2613.33,10,32,29.57
High school graduate or GED completed,23 lbs,Yes,No,1,26.17,3449.33,9.33,36,30.38
High school graduate or GED completed,23 lbs,Yes,No,1,31.54,3144.31,9,35.31,31.82
High school graduate or GED completed,23 lbs,Yes,No,1,28.86,3316.41,11.14,35.82,33.56
High school graduate or GED completed,23 lbs,Yes,No,1,28.8,3153.67,12.33,36.21,31.68
High school graduate or GED completed,23 lbs,Yes,No,1,30.11,3313.89,13.42,37.59,31.8
High school graduate or GED completed,23 lbs,Yes,No,1,29.8,3447.6,13,38,31.7
"Some college credit, but not a degree",23 lbs,Yes,No,0,21,1049,6,28,25.7
"Some college credit, but not a degree",23 lbs,Yes,No,0,32,2050,12.5,33.5,36.05
"Some college credit, but not a degree",23 lbs,Yes,No,0,30,1266.5,8.75,28.5,32.62
"Some college credit, but not a degree",23 lbs,Yes,No,0,29.67,2980,11,38.67,40.2
"Some college credit, but not a degree",23 lbs,Yes,No,1,29.42,2742.67,8.75,33.75,32.27
"Some college credit, but not a degree",23 lbs,Yes,No,1,30.95,3069.95,9.52,35.55,31.66
"Some college credit, but not a degree",23 lbs,Yes,No,1,32.34,3301.2,12.78,36.22,33.29
"Some college credit, but not a degree",23 lbs,Yes,No,1,30.02,3390.31,13.15,37.68,32.58
"Some college credit, but not a degree",23 lbs,Yes,No,1,40,2530,15,39,43.8
"Associate degree (AA, AS)",23 lbs,Yes,No,0,37,4275,16,39,42.4
"Associate degree (AA, AS)",23 lbs,Yes,No,0,23,4649,39,36,35.1
"Associate degree (AA, AS)",23 lbs,Yes,No,0,36.5,2951.5,13.5,38.5,27.35
"Associate degree (AA, AS)",23 lbs,Yes,No,1,33,2466,12,39,32.1
"Associate degree (AA, AS)",23 lbs,Yes,No,1,31.33,2903.67,11.33,34,26.37
"Associate degree (AA, AS)",23 lbs,Yes,No,1,31.91,2956.09,11.6,34.82,36.82
"Associate degree (AA, AS)",23 lbs,Yes,No,1,31.12,3114,13.72,36.4,31.86
"Associate degree (AA, AS)",23 lbs,Yes,No,1,31.95,3415.42,14.53,37.75,32.35
"Associate degree (AA, AS)",23 lbs,Yes,No,1,30,3190,18,38,26.4
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,0,34,3997,16,37,24.6
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,0,28.5,2948,8,36.5,30.55
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,0,32,1210,11,29.5,26.75
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,1,31.5,2275,8.5,32.75,26.95
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,1,33.5,3396,13,36.5,28.07
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,1,34.08,2895,12.08,34.67,31.24
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,1,32.91,3118.94,12.8,36.78,29.03
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,1,32.76,3322.25,13.06,37.84,29.1
"Bachelor's degree (BA, AB, BS)",23 lbs,Yes,No,1,32.6,3564.8,12.2,36.8,30.48
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",23 lbs,Yes,No,0,33,3543,12,34,42.4
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",23 lbs,Yes,No,0,36,2160,19,32,30.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",23 lbs,Yes,No,1,32,1426.67,13,28.33,29.7
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",23 lbs,Yes,No,1,26,532,5,23,21.5
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",23 lbs,Yes,No,1,36.25,3062.5,21.25,36.25,30.8
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",23 lbs,Yes,No,1,32.82,3345,14.35,37.35,29.81
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",23 lbs,Yes,No,1,34.05,3273.22,13.12,37.81,27.72
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",23 lbs,Yes,No,1,33.67,3278,13,38.67,21.73
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",23 lbs,Yes,No,0,44,3090,18,37,29.8
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",23 lbs,Yes,No,1,39,3487,14,39,25.1
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",23 lbs,Yes,No,1,38,2940,20,39,24.3
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",23 lbs,Yes,No,1,35,2965.33,21.6,35.33,32.63
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",23 lbs,Yes,No,1,34.35,3214.15,13.06,38.15,25.99
8th grade or less,24 lbs,Yes,No,1,40,3140,20,35,32.8
8th grade or less,24 lbs,Yes,No,1,41,3385,12,38,31.1
8th grade or less,24 lbs,Yes,No,1,36.86,3147.29,9.14,36.57,29.49
8th grade or less,24 lbs,Yes,No,1,36.33,3458,14.75,37.67,31.57
8th grade or less,24 lbs,Yes,No,1,34.47,3482.62,14.32,37.88,29.21
9th through 12th grade with no diploma,24 lbs,Yes,No,0,17.5,1774,12,29,27.75
9th through 12th grade with no diploma,24 lbs,Yes,No,0,25,2955.4,13.8,34.8,30.96
9th through 12th grade with no diploma,24 lbs,Yes,No,1,27,2340,18,32,32.3
9th through 12th grade with no diploma,24 lbs,Yes,No,1,35,2547,10.5,34,26.4
9th through 12th grade with no diploma,24 lbs,Yes,No,1,30.29,2782.43,11.14,34.57,30.13
9th through 12th grade with no diploma,24 lbs,Yes,No,1,31.27,3182.24,11.14,35.89,32.1
9th through 12th grade with no diploma,24 lbs,Yes,No,1,28.94,3279.46,12.1,37.52,31.09
9th through 12th grade with no diploma,24 lbs,Yes,No,1,38,2975,6,37,32.6
High school graduate or GED completed,24 lbs,Yes,No,0,32,2920,10.5,37.5,39.6
High school graduate or GED completed,24 lbs,Yes,No,0,30.5,1098,12.5,28,36.75
High school graduate or GED completed,24 lbs,Yes,No,0,27,3357.5,10,37.5,34.5
High school graduate or GED completed,24 lbs,Yes,No,1,25.75,2722.5,16.25,34.5,37.88
High school graduate or GED completed,24 lbs,Yes,No,1,29.5,3175.92,11.83,34.83,31.75
High school graduate or GED completed,24 lbs,Yes,No,1,29.16,2999.69,13.29,35.28,31.19
High school graduate or GED completed,24 lbs,Yes,No,1,29.36,3373.92,13.09,36.82,32.33
High school graduate or GED completed,24 lbs,Yes,No,1,29.75,3333.97,12.6,37.49,31.94
High school graduate or GED completed,24 lbs,Yes,No,1,27.5,3408.62,13,38,29.01
"Some college credit, but not a degree",24 lbs,Yes,No,0,31.5,2196.5,14.5,27.5,28.25
"Some college credit, but not a degree",24 lbs,Yes,No,0,26.5,3875,11,36.5,33.2
"Some college credit, but not a degree",24 lbs,Yes,No,0,27,1230,6,27,35.9
"Some college credit, but not a degree",24 lbs,Yes,No,0,34,3019,11,35,41.5
"Some college credit, but not a degree",24 lbs,Yes,No,1,22,671,4,24,40.2
"Some college credit, but not a degree",24 lbs,Yes,No,1,30.5,2669.83,11.33,36.33,36.05
"Some college credit, but not a degree",24 lbs,Yes,No,1,29.39,3165.48,12.26,36,32.25
"Some college credit, but not a degree",24 lbs,Yes,No,1,29.97,3424.07,14.11,36.54,31.87
"Some college credit, but not a degree",24 lbs,Yes,No,1,30.55,3331.4,13.08,37.41,32.19
"Some college credit, but not a degree",24 lbs,Yes,No,1,31.67,3582.17,16,38.33,34
"Associate degree (AA, AS)",24 lbs,Yes,No,0,37,2640,15,36,22.7
"Associate degree (AA, AS)",24 lbs,Yes,No,0,35,3660,10,39,31.2
"Associate degree (AA, AS)",24 lbs,Yes,No,1,31,2740,12,36,31.2
"Associate degree (AA, AS)",24 lbs,Yes,No,1,27,3955,19.5,37,30.85
"Associate degree (AA, AS)",24 lbs,Yes,No,1,28.25,1814,11.33,31.5,23.48
"Associate degree (AA, AS)",24 lbs,Yes,No,1,32.85,3169.59,10.78,36.19,32.47
"Associate degree (AA, AS)",24 lbs,Yes,No,1,32.02,3327.85,13.31,37.37,30.55
"Associate degree (AA, AS)",24 lbs,Yes,No,1,34,3515.67,13,37.67,34.03
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,0,32,1786,10,34,24.4
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,0,29.67,2743.33,20.33,33.67,31.13
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,0,38.5,3274,10.5,35.5,38.2
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,1,31,2749,14,33,27.8
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,1,30.75,3912,11.5,36.75,29.42
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,1,33.92,2865,12.55,34.42,29.07
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,1,31.71,3133.29,13.11,36.2,28.71
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,1,32.32,3344.93,13.55,37.99,27.97
"Bachelor's degree (BA, AB, BS)",24 lbs,Yes,No,1,36.5,2866,13.5,38,24.15
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",24 lbs,Yes,No,0,30.67,3146.67,14.33,38,25.83
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",24 lbs,Yes,No,1,31,3098.67,12.67,36,28.27
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",24 lbs,Yes,No,1,34.5,3007.5,16,37,39.9
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",24 lbs,Yes,No,1,33.24,3395.86,15.25,37.57,27.71
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",24 lbs,Yes,No,1,33.87,3291.02,13.64,37.79,28.02
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",24 lbs,Yes,No,1,34.5,3543,12,38,28.2
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",24 lbs,Yes,No,1,26,3680,12,38,29.9
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",24 lbs,Yes,No,1,33,3405,5,39,24.6
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",24 lbs,Yes,No,1,35.5,2877.83,11.33,35,32.08
