DEATH,COUNTY,DEATHS
2010,Hardin,315
2011,Hardin,301
2012,Hardin,329
2013,Hardin,328
2014,Hardin,318
2015,Hardin,296
2016,Hardin,342
2017,Hardin,316
2018,Hardin,342
2019,Hardin,233
2007,Harrison,197
2008,Harrison,207
2009,Harrison,204
2010,Harrison,199
2011,Harrison,182
2012,Harrison,209
2013,Harrison,173
2014,Harrison,229
2015,Harrison,209
2016,Harrison,185
2017,Harrison,197
2018,Harrison,215
2019,Harrison,152
2007,Henry,287
2008,Henry,267
2009,Henry,224
2010,Henry,267
2011,Henry,277
2012,Henry,279
2013,Henry,247
2014,Henry,276
2015,Henry,322
2016,Henry,273
2017,Henry,280
2018,Henry,312
2019,Henry,213
2007,Highland,414
2008,Highland,448
2009,Highland,457
2010,Highland,472
2011,Highland,467
2012,Highland,498
2013,Highland,454
2014,Highland,478
2015,Highland,516
2016,Highland,490
2017,Highland,509
2018,Highland,502
2019,Highland,354
2007,Hocking,314
2008,Hocking,300
2009,Hocking,290
2010,Hocking,284
2011,Hocking,318
2012,Hocking,312
2013,Hocking,315
2014,Hocking,306
2015,Hocking,265
2016,Hocking,303
2017,Hocking,336
2018,Hocking,360
2019,Hocking,249
2007,Holmes,250
2008,Holmes,275
2009,Holmes,302
2010,Holmes,296
2011,Holmes,267
2012,Holmes,286
2013,Holmes,304
2014,Holmes,310
2015,Holmes,315
2016,Holmes,334
2017,Holmes,329
2018,Holmes,326
2019,Holmes,257
2007,Huron,516
2008,Huron,551
2009,Huron,518
2010,Huron,542
2011,Huron,555
2012,Huron,579
2013,Huron,627
2014,Huron,572
2015,Huron,574
2016,Huron,569
2017,Huron,631
2018,Huron,631
2019,Huron,483
2007,Jackson,359
2008,Jackson,383
2009,Jackson,354
2010,Jackson,398
2011,Jackson,387
2012,Jackson,405
2013,Jackson,382
2014,Jackson,428
2015,Jackson,390
2016,Jackson,424
2017,Jackson,429
2018,Jackson,463
2019,Jackson,302
2007,Jefferson,977
2008,Jefferson,968
2009,Jefferson,963
2010,Jefferson,905
2011,Jefferson,1045
2012,Jefferson,953
2013,Jefferson,922
2014,Jefferson,974
2015,Jefferson,930
2016,Jefferson,962
2017,Jefferson,949
2018,Jefferson,930
2019,Jefferson,715
2007,Knox,542
2008,Knox,548
2009,Knox,589
2010,Knox,598
2011,Knox,648
2012,Knox,624
2013,Knox,566
2014,Knox,563
2015,Knox,628
2016,Knox,662
2017,Knox,646
2018,Knox,649
2019,Knox,428
2007,Lake,2086
2008,Lake,2250
2009,Lake,2251
2010,Lake,2264
2011,Lake,2343
2012,Lake,2324
2013,Lake,2379
2014,Lake,2353
2015,Lake,2472
2016,Lake,2535
2017,Lake,2635
2018,Lake,2580
2019,Lake,1924
2007,Lawrence,750
2008,Lawrence,717
2009,Lawrence,695
2010,Lawrence,688
2011,Lawrence,715
2012,Lawrence,736
2013,Lawrence,753
2014,Lawrence,739
2015,Lawrence,816
2016,Lawrence,809
2017,Lawrence,847
2018,Lawrence,920
2019,Lawrence,598
2007,Licking,1298
2008,Licking,1376
2009,Licking,1422
2010,Licking,1458
2011,Licking,1428
2012,Licking,1555
2013,Licking,1468
2014,Licking,1550
2015,Licking,1701
2016,Licking,1574
2017,Licking,1705
2018,Licking,1754
2019,Licking,1322
2007,Logan,421
2008,Logan,440
2009,Logan,478
2010,Logan,469
2011,Logan,423
2012,Logan,456
2013,Logan,480
2014,Logan,499
2015,Logan,511
2016,Logan,503
2017,Logan,504
2018,Logan,509
2019,Logan,353
2007,Lorain,2575
2008,Lorain,2633
2009,Lorain,2610
2010,Lorain,2795
2011,Lorain,2892
2012,Lorain,2865
2013,Lorain,2936
2014,Lorain,2948
2015,Lorain,3080
2016,Lorain,3080
2017,Lorain,3269
2018,Lorain,3312
2019,Lorain,2419
2007,Lucas,4245
2008,Lucas,4329
2009,Lucas,4237
2010,Lucas,4179
2011,Lucas,4219
2012,Lucas,4420
2013,Lucas,4441
2014,Lucas,4410
2015,Lucas,4406
2016,Lucas,4618
2017,Lucas,4562
2018,Lucas,4862
2019,Lucas,3404
2007,Madison,376
2008,Madison,367
2009,Madison,350
2010,Madison,382
2011,Madison,365
2012,Madison,406
2013,Madison,397
2014,Madison,376
2015,Madison,423
2016,Madison,448
2017,Madison,445
2018,Madison,405
2019,Madison,333
2007,Mahoning,2986
2008,Mahoning,3066
2009,Mahoning,2958
2010,Mahoning,3030
2011,Mahoning,3039
2012,Mahoning,3069
2013,Mahoning,3046
2014,Mahoning,3044
2015,Mahoning,3163
2016,Mahoning,3029
2017,Mahoning,2970
2018,Mahoning,3115
2019,Mahoning,2273
2007,Marion,691
2008,Marion,647
2009,Marion,679
2010,Marion,655
2011,Marion,643
2012,Marion,712
2013,Marion,705
2014,Marion,733
2015,Marion,758
2016,Marion,787
2017,Marion,763
2018,Marion,790
2019,Marion,620
2007,Medina,1205
2008,Medina,1255
2009,Medina,1229
2010,Medina,1291
2011,Medina,1379
2012,Medina,1398
2013,Medina,1353
2014,Medina,1454
2015,Medina,1467
2016,Medina,1422
2017,Medina,1621
2018,Medina,1652
2019,Medina,1080
2007,Meigs,263
2008,Meigs,295
2009,Meigs,252
