Anesthesia_code,Antibiotics_for_Mother_code,Induction_of_Labor_Code,Steroids_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
2,1,1,1,8,28.84,2219.04,9.25,34.02,28.87,1024
2,1,1,1,9,28.95,2457.24,9.98,35.28,27.86,3788
2,1,1,1,10,27.98,2644.51,11.15,36.05,30.1,43
2,1,1,1,99,27.95,2000.94,9.06,32.47,28.15,19
2,1,1,2,0,28.36,2135.59,8.26,30.08,28.51,44
2,1,1,2,1,28.72,1206.28,6.04,25.26,29.03,271
2,1,1,2,2,27.85,2196.18,8.28,31.76,29.34,144
2,1,1,2,3,28.78,2916.07,11.56,36.22,30.74,164
2,1,1,2,4,28.61,3029.43,11.86,37.33,29.45,186
2,1,1,2,5,27.62,3092.33,11.2,37.72,29.35,333
2,1,1,2,6,28.26,3039.12,11.46,37.53,29.62,692
2,1,1,2,7,28.56,3161.73,11.56,38.06,29.42,1674
2,1,1,2,8,28.69,3259.57,11.55,38.52,28.93,9051
2,1,1,2,9,29.0,3305.63,11.7,38.91,28.33,77338
2,1,1,2,10,28.66,3330.06,11.89,39.01,28.23,2020
2,1,1,2,99,27.27,2849.1,11.83,36.31,28.74,121
2,1,2,1,0,28.59,1159.28,5.28,27.28,28.33,90
2,1,2,1,1,28.05,862.59,5.77,25.29,28.84,572
2,1,2,1,2,28.76,1023.2,5.92,26.26,28.77,403
2,1,2,1,3,28.39,1119.79,6.41,27.13,28.44,478
2,1,2,1,4,28.35,1250.75,6.51,27.66,29.1,615
2,1,2,1,5,28.36,1300.58,7.06,28.22,28.58,949
2,1,2,1,6,28.68,1349.06,6.91,28.56,28.04,1616
2,1,2,1,7,28.71,1526.93,7.49,29.64,28.06,2979
2,1,2,1,8,28.89,1857.03,8.12,31.59,27.55,6678
2,1,2,1,9,28.81,2289.23,8.94,33.85,26.76,16085
2,1,2,1,10,27.57,2505.07,9.9,34.93,26.94,228
2,1,2,1,99,28.18,1390.64,7.01,28.42,28.55,165
2,1,2,2,0,28.31,1568.59,6.27,28.02,27.73,352
2,1,2,2,1,28.23,918.14,5.41,24.3,29.38,1451
2,1,2,2,2,28.23,1625.06,7.05,28.8,28.53,853
2,1,2,2,3,28.02,2032.76,7.88,31.65,28.81,862
2,1,2,2,4,28.53,2228.79,8.32,33.13,28.26,933
2,1,2,2,5,28.62,2420.21,8.73,34.0,28.3,1537
2,1,2,2,6,28.51,2562.41,9.1,34.87,28.11,2805
2,1,2,2,7,28.77,2773.71,9.41,35.83,27.81,6171
2,1,2,2,8,28.76,3104.05,10.04,37.51,27.17,31597
2,1,2,2,9,28.89,3260.54,10.55,38.45,26.52,266409
2,1,2,2,10,28.72,3311.48,10.68,38.72,26.02,7992
2,1,2,2,99,28.71,2550.25,8.96,34.4,27.52,634
2,1,9,1,1,35.0,1290.0,2.0,28.0,49.0,1
2,1,9,1,8,20.0,1670.0,5.0,32.0,17.7,1
2,1,9,1,9,22.6,1649.0,6.6,32.4,26.68,5
2,1,9,2,2,39.0,660.0,4.0,24.0,35.5,1
2,1,9,2,8,28.0,2290.0,8.33,36.0,38.0,3
2,1,9,2,9,26.88,3038.12,8.12,35.88,26.56,8
2,1,9,2,99,27.0,3935.0,0.0,40.0,23.8,1
2,2,1,1,0,29.0,1676.67,10.33,30.67,25.45,3
2,2,1,1,1,27.42,1265.25,8.75,28.46,29.99,26
2,2,1,1,2,28.23,1283.18,7.05,28.14,27.91,22
2,2,1,1,3,28.08,1765.58,10.13,31.5,28.83,24
2,2,1,1,4,28.38,2109.26,8.61,32.85,25.97,34
2,2,1,1,5,27.78,1915.51,9.4,32.49,28.38,68
2,2,1,1,6,29.53,2148.37,8.93,33.61,29.75,86
2,2,1,1,7,28.57,2145.44,9.58,33.82,28.64,261
2,2,1,1,8,28.7,2348.22,10.44,34.86,28.42,838
2,2,1,1,9,28.85,2647.52,11.2,36.24,27.65,3958
2,2,1,1,10,28.89,2835.03,12.0,36.74,27.96,70
2,2,1,1,99,29.06,2026.0,9.87,32.94,28.31,16
2,2,1,2,0,30.02,1995.69,7.7,30.04,27.63,135
2,2,1,2,1,28.78,1241.2,6.28,25.4,28.91,863
2,2,1,2,2,28.5,2371.8,9.04,32.76,28.7,511
2,2,1,2,3,28.33,2902.4,10.7,36.56,28.66,503
2,2,1,2,4,28.88,3171.31,11.68,38.21,28.88,622
2,2,1,2,5,28.26,3212.04,11.87,38.42,28.71,1058
2,2,1,2,6,27.98,3223.14,11.44,38.45,28.52,1988
2,2,1,2,7,28.52,3271.45,11.81,38.59,28.59,5548
2,2,1,2,8,28.48,3340.14,11.72,38.91,27.95,34951
2,2,1,2,9,28.89,3349.64,11.81,39.12,27.45,297137
2,2,1,2,10,28.39,3379.87,11.79,39.22,27.31,8705
2,2,1,2,99,28.73,3042.89,10.27,36.93,27.72,610
2,2,2,1,0,27.29,1260.11,6.99,27.25,29.45,92
2,2,2,1,1,29.16,1004.69,6.7,26.49,29.41,518
2,2,2,1,2,29.16,1222.87,7.32,28.0,29.64,385
2,2,2,1,3,29.38,1347.18,7.64,28.82,29.19,519
2,2,2,1,4,29.18,1386.89,7.71,29.01,28.87,637
2,2,2,1,5,29.69,1466.71,7.84,29.67,28.85,1044
2,2,2,1,6,29.75,1517.29,8.24,29.89,28.88,1820
2,2,2,1,7,29.45,1662.04,8.37,30.74,28.65,3230
2,2,2,1,8,29.83,1988.92,9.37,32.54,28.4,7968
2,2,2,1,9,29.59,2456.49,10.34,34.94,27.38,22158
2,2,2,1,10,28.8,2729.21,11.27,36.13,26.16,342
2,2,2,1,99,28.83,1820.12,8.43,31.62,27.62,239
2,2,2,2,0,28.31,1988.2,6.28,30.5,27.72,2215
2,2,2,2,1,28.13,1055.47,5.38,24.79,28.84,7775
2,2,2,2,2,28.21,1732.39,7.02,29.23,28.61,4275
2,2,2,2,3,28.58,2169.04,8.13,32.33,28.18,3780
2,2,2,2,4,28.64,2485.44,8.96,34.41,27.79,4711
2,2,2,2,5,28.78,2672.53,9.26,35.52,27.53,8004
2,2,2,2,6,28.91,2799.53,9.64,36.08,27.73,13622
2,2,2,2,7,28.91,2979.11,10.02,36.94,27.41,35079
2,2,2,2,8,28.89,3227.17,10.56,38.17,26.86,205805
2,2,2,2,9,29.14,3314.2,10.88,38.71,26.34,1720188
2,2,2,2,10,29.58,3449.87,10.32,39.26,25.24,96755
2,2,2,2,99,29.23,3072.53,7.49,37.68,25.71,30660
2,2,9,1,8,34.0,1715.0,10.0,30.0,21.6,2
2,2,9,1,10,26.0,1250.0,4.0,29.0,27.3,1
2,2,9,2,1,19.0,360.0,5.0,21.0,17.1,1
2,2,9,2,6,24.0,1745.0,5.0,31.0,21.0,1
2,2,9,2,7,20.0,3510.0,13.0,39.0,22.3,1
2,2,9,2,8,30.0,2854.12,6.38,36.38,25.07,8
2,2,9,2,9,28.52,3259.44,8.78,37.78,29.28,27
2,2,9,2,10,30.25,3428.75,7.0,39.5,22.52,4
2,2,9,2,99,18.0,2760.0,0.0,36.0,23.0,1
9,9,9,9,0,26.89,1862.43,4.79,30.52,26.2,93
9,9,9,9,1,29.43,1021.45,5.79,25.53,28.97,69
9,9,9,9,2,29.9,2144.67,7.36,29.87,29.54,31
9,9,9,9,3,27.8,2124.48,8.21,31.93,26.32,30
9,9,9,9,4,26.03,2313.56,8.27,33.89,26.1,29
9,9,9,9,5,29.09,2601.73,8.4,34.75,26.38,55
9,9,9,9,6,28.69,2714.58,8.48,35.69,27.8,70
9,9,9,9,7,30.05,2932.98,10.79,36.75,27.56,136
9,9,9,9,8,28.58,3126.78,10.26,37.8,26.96,648
9,9,9,9,9,29.13,3301.32,10.8,38.8,26.81,3712
9,9,9,9,10,29.79,3432.45,9.89,39.26,25.29,232
9,9,9,9,99,29.21,2981.8,4.72,36.99,26.37,1261
