Month_code,Birthplace_code,Delivery_method_code,Fetal_presentation_code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,1,4,3,5,31.86,2791.36,11.0,35.36,31.65,14
1,1,4,3,6,30.37,2500.9,9.62,33.9,28.87,41
1,1,4,3,7,29.78,2758.65,10.81,35.85,31.84,54
1,1,4,3,8,30.52,3000.24,10.73,36.72,29.73,261
1,1,4,3,9,30.61,3279.47,11.13,38.1,29.52,1775
1,1,4,3,10,31.15,3396.91,12.26,38.39,27.96,46
1,1,4,3,99,30.25,3230.75,12.75,36.75,35.27,4
1,1,4,9,1,30.5,1487.75,5.5,29.25,32.63,4
1,1,4,9,3,36.0,320.0,9.0,23.0,23.9,1
1,1,4,9,4,34.4,2270.0,9.5,33.0,32.48,5
1,1,4,9,5,17.0,3240.0,5.0,37.0,31.6,1
1,1,4,9,6,29.83,2415.17,9.2,33.83,31.73,6
1,1,4,9,7,30.58,2782.63,9.24,35.89,28.23,19
1,1,4,9,8,30.62,3132.67,11.03,37.39,29.74,100
1,1,4,9,9,30.12,3334.41,11.59,38.35,29.65,981
1,1,4,9,10,30.27,3392.8,11.07,38.57,29.37,30
1,1,4,9,99,29.0,3239.89,9.43,37.67,30.83,9
1,1,5,1,0,26.64,463.5,0.0,21.5,27.06,22
1,1,5,1,1,22.0,0.0,3.0,18.0,38.4,1
1,1,5,1,2,21.0,1347.5,3.0,21.0,24.8,2
1,1,5,1,3,37.0,2594.0,16.0,37.5,30.65,2
1,1,5,1,4,41.0,2583.0,0.0,35.0,27.2,1
1,1,5,1,5,31.25,2681.25,4.33,36.0,37.2,4
1,1,5,1,6,28.67,2644.75,5.0,36.0,23.96,9
1,1,5,1,7,22.67,3127.22,6.57,37.0,22.66,9
1,1,5,1,8,27.94,3184.5,7.29,37.84,26.02,70
1,1,5,1,9,27.26,3224.68,7.4,38.64,25.84,355
1,1,5,1,10,28.0,3134.55,15.86,38.73,23.09,11
1,1,5,2,9,25.0,2463.0,3.0,36.75,23.9,4
1,1,5,3,9,21.0,2685.0,11.0,38.0,23.2,1
1,1,5,9,3,22.0,3090.0,14.0,41.0,28.3,1
1,1,5,9,8,28.25,3082.5,12.67,38.75,20.23,4
1,1,5,9,9,29.03,3246.11,11.6,38.94,26.02,35
1,1,6,1,4,20.0,3487.0,3.0,40.0,39.6,1
1,1,6,1,5,27.0,2948.0,4.5,38.5,28.6,2
1,1,6,1,6,26.43,1925.0,6.75,33.14,22.52,7
1,1,6,1,7,28.33,2153.33,4.67,36.0,21.7,3
1,1,6,1,8,31.38,3116.56,7.93,36.67,30.81,16
1,1,6,1,9,29.38,3316.42,9.82,38.54,28.65,76
1,1,6,1,10,26.0,3671.0,12.0,39.0,31.4,2
1,1,6,1,99,27.75,2863.5,5.0,36.5,33.4,4
1,1,6,2,3,19.0,2225.0,6.0,38.0,27.4,1
1,1,6,2,5,31.0,2970.0,7.0,35.0,43.5,1
1,1,6,2,7,31.0,2906.0,4.0,36.0,24.1,2
1,1,6,2,8,28.8,2519.2,1.0,36.0,23.13,5
1,1,6,2,9,26.5,2973.3,6.5,37.7,27.03,10
1,1,6,2,99,32.33,1385.0,0.0,30.0,21.3,3
1,1,6,3,7,23.0,3595.0,0.0,40.0,27.5,1
1,1,6,3,8,27.0,3303.0,12.0,39.0,54.5,1
1,1,6,3,9,29.75,3322.5,1.0,37.75,31.07,4
1,1,6,9,5,35.0,2370.0,10.0,35.0,25.2,1
1,1,6,9,7,29.0,3462.0,0.0,39.0,38.7,2
1,1,6,9,8,31.2,2770.2,9.33,36.4,33.9,5
1,1,6,9,9,28.53,3300.95,10.13,38.26,28.4,19
1,1,9,1,5,29.0,2892.0,11.0,41.0,20.6,1
1,1,9,1,6,29.0,3657.0,10.0,37.0,42.9,1
1,1,9,1,7,24.5,3122.5,12.0,39.0,31.05,2
1,1,9,1,8,27.58,3245.42,13.33,38.58,25.12,12
1,1,9,1,9,28.81,3346.75,12.09,38.61,28.06,69
1,1,9,1,10,27.0,2580.0,13.0,37.0,29.6,1
1,1,9,2,8,24.0,2424.0,9.5,35.5,21.85,2
1,1,9,2,9,28.0,3912.0,8.0,39.0,22.1,1
1,1,9,9,1,30.0,0.0,4.0,17.0,38.1,1
1,1,9,9,2,26.0,3895.0,0.0,41.0,32.4,1
1,1,9,9,3,30.0,3650.0,18.0,34.0,45.0,1
1,1,9,9,4,27.0,826.0,4.0,27.0,33.5,2
1,1,9,9,5,31.5,2941.5,9.5,38.0,22.15,2
1,1,9,9,6,31.4,3313.0,8.0,36.6,24.9,5
1,1,9,9,7,24.0,3055.22,7.67,35.89,31.7,9
1,1,9,9,8,26.51,3109.16,7.53,38.16,24.85,37
1,1,9,9,9,28.6,3393.57,10.0,38.91,26.6,131
1,1,9,9,10,27.5,3703.0,12.5,39.0,30.6,2
1,1,9,9,99,28.2,3138.74,0.22,38.78,26.77,81
1,2,1,1,1,35.0,3402.0,5.0,40.0,29.9,1
1,2,1,1,3,29.33,3127.67,9.33,38.33,27.17,3
1,2,1,1,4,31.6,3234.8,10.2,39.4,21.02,5
1,2,1,1,5,28.75,3695.0,9.67,39.83,24.44,12
1,2,1,1,6,30.2,3609.8,11.51,39.8,24.97,35
1,2,1,1,7,29.34,3539.7,10.54,39.6,24.23,90
1,2,1,1,8,29.79,3587.25,10.65,39.62,24.33,384
1,2,1,1,9,29.85,3553.64,11.24,39.62,24.34,2854
1,2,1,1,99,30.05,3343.5,11.33,39.32,25.16,22
1,2,1,2,8,30.67,3368.67,10.33,39.67,23.6,3
1,2,1,2,9,27.88,3248.12,10.38,39.5,24.64,8
1,2,1,3,9,32.8,3692.4,14.6,40.0,20.88,5
1,2,1,3,10,30.33,3137.33,8.67,39.0,23.2,3
1,2,1,9,10,26.0,3090.0,7.0,39.0,18.8,1
1,2,2,1,6,38.0,4848.0,14.0,40.0,36.0,1
1,2,2,1,7,38.0,3402.0,10.0,39.0,33.7,1
1,2,2,1,8,30.0,3328.71,10.71,39.14,26.77,7
1,2,2,1,9,32.55,3748.18,10.39,40.0,25.86,51
1,2,2,1,10,31.57,3625.82,10.19,39.82,25.74,28
1,2,2,2,5,39.0,3912.0,12.0,41.0,42.3,1
1,2,3,1,1,35.0,2485.0,9.0,37.0,27.8,1
1,2,3,1,7,28.0,3540.0,10.0,39.0,20.5,1
1,2,3,1,9,23.0,3810.0,10.0,39.0,42.9,1
1,2,4,1,9,26.8,3277.2,7.8,39.2,29.44,5
1,2,5,1,8,30.0,3459.0,11.0,40.0,24.3,1
1,2,5,1,9,26.0,3997.0,10.0,40.0,18.3,1
1,2,9,9,10,25.33,3590.67,9.33,39.67,29.67,3
