Anesthesia_code,Anesthesia,Antibiotics_for_Mother_code,Antibiotics_for_Mother,Induction_of_Labor_Code,Induction_of_Labor,Steroids_Code,Steroids,Five_min_APGAR_score_code,Five_min_APGAR_score,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Interval_Since_Last_Live_Birth_months,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
2,No,2,No,2,No,1,Yes,99,Unknown or Not Stated,29.33,1819.65,51.15,31.97,8.84,31.89,26.8,72
1,Yes,1,Yes,2,No,2,No,0,0,28.99,2508.9,53.71,33.79,9.5,33.61,28.3,151
1,Yes,1,Yes,2,No,2,No,1,1,28.88,1849.61,60.6,30.76,8.11,30.36,28.82,771
1,Yes,1,Yes,2,No,2,No,2,2,28.24,2450.09,59.13,34.18,9.41,33.89,28.89,718
1,Yes,1,Yes,2,No,2,No,3,3,28.75,2746.8,54.42,35.77,9.71,35.5,28.7,798
1,Yes,1,Yes,2,No,2,No,4,4,28.64,2794.78,54.3,36.13,10.41,35.9,29.24,1216
1,Yes,1,Yes,2,No,2,No,5,5,28.99,2830.3,55.93,36.5,10.47,36.2,28.25,2167
1,Yes,1,Yes,2,No,2,No,6,6,28.95,2891.08,54.64,36.67,10.45,36.47,28.37,4341
1,Yes,1,Yes,2,No,2,No,7,7,29.17,2973.49,55.39,37.03,10.81,36.82,28.52,10394
1,Yes,1,Yes,2,No,2,No,8,8,29.16,3167.98,52.43,37.93,11.01,37.73,28.16,54364
1,Yes,1,Yes,2,No,2,No,9,9,29.37,3295.74,51.3,38.61,11.29,38.47,27.44,442807
1,Yes,1,Yes,2,No,2,No,10,10,28.99,3339.41,48.01,38.73,11.36,38.58,27.59,8673
1,Yes,1,Yes,2,No,2,No,99,Unknown or Not Stated,29.53,2851.47,49.92,36.28,10.39,36.02,27.41,557
2,No,1,Yes,2,No,2,No,0,0,28.4,1518.06,45.35,27.97,5.36,27.69,27.95,90
2,No,1,Yes,2,No,2,No,1,1,28.53,908.65,58.74,24.59,5.07,23.91,29.61,429
2,No,1,Yes,2,No,2,No,2,2,28.38,1537,52.28,28.59,6.88,28.35,29.75,271
2,No,1,Yes,2,No,2,No,3,3,28.55,2057.17,51.04,32.36,7.84,31.84,29.56,270
2,No,1,Yes,2,No,2,No,4,4,28.8,2155.78,51.73,32.94,8.24,32.73,28.66,270
2,No,1,Yes,2,No,2,No,5,5,28.8,2484.36,52.45,34.57,8.71,34.32,29.11,446
2,No,1,Yes,2,No,2,No,6,6,28.66,2571,51.28,35.23,9.24,34.97,28.17,904
2,No,1,Yes,2,No,2,No,7,7,28.79,2808.29,51.3,36.17,9.48,35.96,28.03,1874
2,No,1,Yes,2,No,2,No,8,8,28.85,3104.79,48.96,37.72,10,37.52,27.35,9710
2,No,1,Yes,2,No,2,No,9,9,28.98,3262.39,48.6,38.59,10.55,38.45,26.66,82570
2,No,1,Yes,2,No,2,No,10,10,28.81,3297.24,44.75,38.89,10.59,38.7,26.02,2287
2,No,1,Yes,2,No,2,No,99,Unknown or Not Stated,28.56,2571.27,55.05,34.91,9.46,34.64,28.14,193
1,Yes,2,No,2,No,2,No,0,0,28.98,2254.11,57.12,32.44,8.58,32.33,28.1,331
1,Yes,2,No,2,No,2,No,1,1,28.55,1666.01,52.28,29.44,7.66,29.11,28.45,1929
1,Yes,2,No,2,No,2,No,2,2,28.42,2441.62,54.58,34.06,9.58,33.74,28.17,1634
1,Yes,2,No,2,No,2,No,3,3,28.55,2632.62,52.48,35.49,9.87,35.15,28.5,1752
1,Yes,2,No,2,No,2,No,4,4,28.54,2769.02,53.7,36.16,10.14,35.96,28.29,2464
1,Yes,2,No,2,No,2,No,5,5,28.83,2856.02,55.72,36.57,10.55,36.35,28.47,4386
1,Yes,2,No,2,No,2,No,6,6,28.87,2916.93,55.7,36.91,10.73,36.7,28.16,8758
1,Yes,2,No,2,No,2,No,7,7,28.96,3013.53,54.62,37.34,10.92,37.12,28.03,22963
1,Yes,2,No,2,No,2,No,8,8,28.84,3208.21,51.79,38.22,11.15,38.05,27.54,131660
1,Yes,2,No,2,No,2,No,9,9,29.01,3311.53,50.23,38.79,11.35,38.66,26.68,1168096
1,Yes,2,No,2,No,2,No,10,10,28.52,3330.86,47.53,38.84,11.4,38.69,26.64,21671
1,Yes,2,No,2,No,2,No,99,Unknown or Not Stated,29.3,2883.76,49.69,36.72,10.95,36.49,27.09,2284
2,No,2,No,2,No,2,No,0,0,28.18,1856.43,49.21,29.95,5.97,29.65,27.81,691
2,No,2,No,2,No,2,No,1,1,28.2,1031.8,52.02,25.04,5.22,24.6,29.15,2378
2,No,2,No,2,No,2,No,2,2,28.38,1716.43,52.64,29.38,6.96,29.03,29.1,1316
2,No,2,No,2,No,2,No,3,3,29.16,2154.64,51.49,32.52,8.06,32.21,28.42,1128
2,No,2,No,2,No,2,No,4,4,29.05,2520.51,51.29,34.95,8.96,34.68,28.3,1438
2,No,2,No,2,No,2,No,5,5,28.94,2671.27,50.91,35.75,9.13,35.56,27.93,2461
2,No,2,No,2,No,2,No,6,6,29.12,2785.36,49.45,36.22,9.57,35.98,27.9,4365
2,No,2,No,2,No,2,No,7,7,29.12,2989.66,49.02,37.19,9.98,36.98,27.66,11028
2,No,2,No,2,No,2,No,8,8,29.09,3230.86,48.02,38.32,10.58,38.14,27.18,62969
2,No,2,No,2,No,2,No,9,9,29.31,3315.33,48.03,38.83,10.87,38.7,26.47,537499
2,No,2,No,2,No,2,No,10,10,29.77,3453.43,39.62,39.35,10.26,39.26,25.32,30331
2,No,2,No,2,No,2,No,99,Unknown or Not Stated,29.34,3076.64,40.7,37.74,7.45,37.67,25.86,10321
1,Yes,1,Yes,9,Unknown or Not Stated,1,Yes,5,5,24,780,19,26,3,25,21.3,1
1,Yes,1,Yes,9,Unknown or Not Stated,1,Yes,6,6,24.67,1013.33,69,29.67,7.33,27.33,28.2,3
1,Yes,1,Yes,9,Unknown or Not Stated,1,Yes,7,7,29.33,1811.67,57.25,33,6.8,33.5,25.93,6
1,Yes,1,Yes,9,Unknown or Not Stated,1,Yes,8,8,26.06,1874.69,40,33.38,7.38,32,28.73,16
1,Yes,1,Yes,9,Unknown or Not Stated,1,Yes,9,9,27.57,2288.47,60.71,35.17,8.62,34.23,25.41,40
