Anesthesia_code,Antibiotics_for_Mother_code,Induction_of_Labor_Code,Steroids_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
2,1,2,1,10,28.14,2551.47,34.91,9.47,35.03,26.82,74
2,1,2,1,99,28.72,1555.05,29.19,8.09,28.84,29.6,43
1,2,2,1,0,29.42,1588.03,29.42,7.03,29,31.61,38
1,2,2,1,1,28.57,1320.46,28.27,7.72,28.29,28.45,201
1,2,2,1,2,29.66,1399.37,29.46,8.44,28.93,28.06,158
1,2,2,1,3,28.43,1538.97,30.13,8.09,29.72,29.1,206
1,2,2,1,4,29.57,1661.58,30.51,8.56,30.45,29.61,289
1,2,2,1,5,29.51,1631.87,30.96,8.85,30.46,29.72,545
1,2,2,1,6,29.64,1669.09,30.99,8.48,30.78,29.1,1125
1,2,2,1,7,29.89,1789.19,31.83,9.14,31.54,29.32,2324
1,2,2,1,8,29.81,2102.31,33.49,9.93,33.15,28.59,6799
1,2,2,1,9,29.54,2543.88,35.62,10.94,35.31,27.51,21308
1,2,2,1,10,28.7,2748.6,36.51,11.61,36.28,26.78,241
1,2,2,1,99,29.94,1683.89,31.22,9.15,30.8,27.45,95
2,2,2,1,0,27.13,1255.6,27.77,6.96,27,27.32,31
2,2,2,1,1,30.12,955.7,26.18,6.46,25.99,29.92,178
2,2,2,1,2,29.03,1280.29,28.46,7.3,28.05,29.89,133
2,2,2,1,3,28.68,1347.99,29.33,7.83,28.73,29.31,190
2,2,2,1,4,29.95,1461.86,29.43,7.97,29.25,28.72,238
2,2,2,1,5,29.55,1467.93,30.02,7.72,29.6,28.88,381
2,2,2,1,6,30.13,1558.22,30.3,8.34,30.03,29.02,705
2,2,2,1,7,29.39,1690.26,31.17,8.31,30.81,28.63,1212
2,2,2,1,8,29.88,2009.75,32.98,9.36,32.63,28.5,3121
2,2,2,1,9,29.64,2479.53,35.3,10.25,35.02,27.64,8547
2,2,2,1,10,28.23,2729.96,36.56,11.38,36.38,26.03,127
2,2,2,1,99,29.33,1819.65,31.97,8.84,31.89,26.8,72
1,1,2,2,0,28.99,2508.9,33.79,9.5,33.61,28.3,151
1,1,2,2,1,28.88,1849.61,30.76,8.11,30.36,28.82,771
1,1,2,2,2,28.24,2450.09,34.18,9.41,33.89,28.89,718
1,1,2,2,3,28.75,2746.8,35.77,9.71,35.5,28.7,798
1,1,2,2,4,28.64,2794.78,36.13,10.41,35.9,29.24,1216
1,1,2,2,5,28.99,2830.3,36.5,10.47,36.2,28.25,2167
1,1,2,2,6,28.95,2891.08,36.67,10.45,36.47,28.37,4341
1,1,2,2,7,29.17,2973.49,37.03,10.81,36.82,28.52,10394
1,1,2,2,8,29.16,3167.98,37.93,11.01,37.73,28.16,54364
1,1,2,2,9,29.37,3295.74,38.61,11.29,38.47,27.44,442807
1,1,2,2,10,28.99,3339.41,38.73,11.36,38.58,27.59,8673
1,1,2,2,99,29.53,2851.47,36.28,10.39,36.02,27.41,557
2,1,2,2,0,28.4,1518.06,27.97,5.36,27.69,27.95,90
2,1,2,2,1,28.53,908.65,24.59,5.07,23.91,29.61,429
2,1,2,2,2,28.38,1537,28.59,6.88,28.35,29.75,271
2,1,2,2,3,28.55,2057.17,32.36,7.84,31.84,29.56,270
2,1,2,2,4,28.8,2155.78,32.94,8.24,32.73,28.66,270
2,1,2,2,5,28.8,2484.36,34.57,8.71,34.32,29.11,446
2,1,2,2,6,28.66,2571,35.23,9.24,34.97,28.17,904
